               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.049271,            0.057737,             0.03712,             0.59193,             0.29086,             0.28086,             0.16514,            0.044438,            0.032821,            0.034313,            0.002872,            0.002872,            0.002872
                  38,            0.048787,            0.059121,            0.036162,             0.60094,             0.29528,             0.29766,              0.1643,            0.044892,             0.03271,            0.034151,            0.002674,            0.002674,            0.002674
                  39,            0.048078,             0.05984,            0.035692,             0.59809,             0.28421,             0.28167,             0.16516,            0.043691,            0.032363,            0.033922,            0.002476,            0.002476,            0.002476
                  40,            0.047476,            0.059571,            0.036222,             0.61635,             0.26592,             0.27909,             0.15758,            0.044649,            0.032355,            0.033827,            0.002278,            0.002278,            0.002278
                  41,            0.047715,            0.059273,            0.035285,              0.6326,             0.30627,             0.29327,             0.18512,            0.042025,            0.032015,            0.033712,             0.00208,             0.00208,             0.00208
                  42,             0.04678,            0.062049,            0.035086,             0.63631,             0.30417,             0.29645,              0.1815,             0.04242,            0.032055,            0.033555,            0.001882,            0.001882,            0.001882
                  43,            0.045575,             0.05817,            0.034931,             0.64572,             0.30029,             0.31093,             0.18338,            0.041525,            0.031833,             0.03336,            0.001684,            0.001684,            0.001684
                  44,             0.04554,            0.058094,            0.034919,             0.67861,             0.30226,             0.31928,             0.18795,            0.041821,            0.031878,            0.033207,            0.001486,            0.001486,            0.001486
                  45,            0.044649,             0.05676,            0.034865,             0.72829,             0.29767,             0.30667,             0.18536,            0.041288,            0.031715,            0.033021,            0.001288,            0.001288,            0.001288
                  46,            0.044167,            0.054422,            0.034534,             0.72861,             0.29847,             0.30718,             0.19613,            0.040478,            0.031583,            0.032926,             0.00109,             0.00109,             0.00109
                  47,            0.043587,            0.055258,            0.035473,             0.71978,             0.30047,             0.31261,             0.19807,            0.040561,            0.031527,            0.032806,            0.000892,            0.000892,            0.000892
                  48,            0.043701,            0.055146,            0.035311,             0.71849,              0.2982,             0.31328,             0.20171,            0.040162,             0.03144,            0.032749,            0.000694,            0.000694,            0.000694
                  49,            0.044348,            0.055003,            0.034832,              0.7208,             0.29563,             0.31717,             0.20636,            0.039943,            0.031446,            0.032678,            0.000496,            0.000496,            0.000496
