               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085963,            0.025382,                   0,             0.51814,             0.50794,             0.47492,               0.214,            0.060051,            0.011862,                   0,            0.070136,           0.0033182,           0.0033182
                   1,            0.054005,            0.021112,                   0,             0.67312,             0.49497,             0.56347,             0.26173,            0.054195,            0.010169,                   0,            0.039478,            0.005993,            0.005993
                   2,            0.047818,            0.019691,                   0,             0.65458,             0.53285,              0.5756,             0.29407,            0.053576,            0.010333,                   0,           0.0081594,           0.0080078,           0.0080078
                   3,            0.043089,            0.018615,                   0,             0.68121,             0.49908,             0.55045,             0.30815,             0.05076,            0.011852,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.041942,            0.018942,                   0,             0.64147,             0.36961,             0.39703,             0.20246,            0.059391,            0.013442,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.038449,            0.018078,                   0,             0.71007,             0.58277,             0.61569,             0.34635,            0.045254,            0.010591,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.036234,            0.017569,                   0,             0.71479,             0.62585,             0.65489,             0.39025,             0.04225,            0.010074,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.034315,            0.017024,                   0,             0.79804,             0.59637,             0.69672,             0.42547,             0.04072,           0.0094617,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.033042,            0.016807,                   0,             0.81465,              0.6712,             0.76225,             0.49461,            0.036213,           0.0086647,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.031698,            0.015802,                   0,             0.79699,             0.71429,             0.77661,             0.51215,            0.035671,           0.0085085,                   0,             0.00208,             0.00208,             0.00208
